ID,Contexto fonético,Find,Replace,Exemplo
T35,Seleciona todos os <ui>, à exceção dos que se encontram precedidos de <g> ou <q>",(?<![gq])ui,uj,Origin Word: cuiˈdar -> Processed Word: cujˈdar
T36,Seleciona todos os <au> e <ao>,(au|ao),aw,Origin Word: ˈmau -> Processed Word: ˈmaw
T37,Seleciona todos os <eu>,eu,ew,Origin Word: ˈdeus -> Processed Word: ˈdews
T38,Seleciona todos os <éu>,éu,ɛw,Origin Word: ˈcéu -> Processed Word: ˈcɛw
T39,Seleciona todos os <í>,í,i,Origin Word: iˈníciu -> Processed Word: iˈniciu
T40,Seleciona todos os <é>,é,ɛ,Origin Word: ˈpé -> Processed Word: ˈpɛ
T41,Seleciona todos os <ú>,ú,u,Origin Word: ˈúnicu -> Processed Word: ˈunicu
T42,Seleciona todos os <ó>,ó,ɔ,Origin Word: ˈsó -> Processed Word: ˈsɔ
T43,Seleciona todos os <á>,á,a,Origin Word: ˈʒá -> Processed Word: ˈʒa
T44,Seleciona todos os <l> em coda silábica no interior de palavra,(?<=[aɐeêɛɨijoôɔuw])l(?=[ˈ bcçdfgʒklmnpqrstvxz]),ɫ,Origin Word: ˈaltu -> Processed Word: ˈaɫtu
T45,Seleciona todos os <l> em coda silábica no final de palavra,$l,ɫ,Origin Word: loˈcal -> Processed Word: luˈcaɫ
T46,Seleciona todos os <e> átonos seguidos de /l/ em coda silábica,(?<!ˈ(b|c|ç|d|f|gu|g|ch|nh|lh|j|l|m|n|p|qu|r|rr|s|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl))e(?=ɫ),ɛ,Origin Word: puˈssiveɫ -> Processed Word: puˈssivɛɫ
T47,Seleciona todos os <a> átonos em fronteira inicial de palavra,(?<!ˈ)^a(?![jwɫ]),ɐ,Origin Word: aˈmar -> Processed Word: ɐˈmar
T48,Seleciona todos os <o> átonos em fronteira inicial de palavra,(?<!ˈ)^o(?![juɫ]),ɔ / o,Origin Word: oˈlhar -> Processed Word: ɔ / oˈlhar
